	megahit	idba	spades
#contigs(>=0bp)	28300	21954	32125
#contigs(>=1000bp)	28300	21954	32125
#contigs(>=5000bp)	9079	9136	11282
#contigs(>=10000bp)	4448	4540	5367
#contigs(>=25000bp)	1558	1437	1795
#contigs(>=50000bp)	537	459	671
Totallength(>=0bp)	213748755	193125119	260564926
Totallength(>=1000bp)	213748755	193125119	260564926
Totallength(>=5000bp)	156648843	153123043	198269047
Totallength(>=10000bp)	124735354	121155388	157490742
Totallength(>=25000bp)	80030184	73742274	102767096
Totallength(>=50000bp)	44998072	39886851	64186689
#contigs	28300	21954	32125
Largestcontig	552839	552835	678090
Totallength	213748755	193125119	260564926
GC(%)	57.56	57.1	57.36
N50	14755	16010	15904
N75	4668	6029	5225
L50	2966	2591	3189
L75	9838	7628	10726
#totalreads	154256117	159111691	
#left	76776003	79189778	
#right	76776003	79189778	
Mapped(%)	90.17	89.06	
Properlypaired(%)	88.28	87.16	
Avg.coveragedepth	80	90	
Coverage>=1x(%)	99.99	100	
#N'sper100kbp	0	0	
time	0:53:41	2:14:21	7:05:07
			
			
			
			
