Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
Metabat2.9	k__Archaea (UID146)	59	174	136	0	173	1	0	0	0	100	0.74	0
Metabat2.72	f__Moraxellaceae (UID4680)	86	689	365	1	685	3	0	0	0	99.96	0.68	0
Metabat2.21	o__Cytophagales (UID2936)	47	454	336	3	444	7	0	0	0	99.11	1.4	28.57
Metabat2.47	f__Comamonadaceae (UID4119)	39	693	323	18	672	3	0	0	0	98.98	0.54	33.33
Metabat2.79	o__Sphingomonadales (UID3310)	26	569	293	6	560	3	0	0	0	98.91	0.51	33.33
Metabat2.15	o__Sphingomonadales (UID3310)	26	569	293	4	562	3	0	0	0	98.63	0.4	0
Metabat2.71	k__Bacteria (UID2569)	434	278	186	5	272	1	0	0	0	98.39	0.54	0
Metabat2.78	k__Bacteria (UID3060)	138	336	246	4	330	2	0	0	0	98.37	0.61	0
Metabat2.57	o__Burkholderiales (UID4002)	107	573	250	16	544	13	0	0	0	98.27	0.75	53.85
Metabat2.17	c__Alphaproteobacteria (UID3422)	26	529	308	9	505	15	0	0	0	98.24	1.44	100
Metabat2.25	f__Flavobacteriaceae (UID2817)	81	511	283	7	500	4	0	0	0	98.23	1.24	75
Metabat2.23	k__Bacteria (UID3060)	138	336	246	5	319	12	0	0	0	97.97	2.79	0
Metabat2.16	c__Gammaproteobacteria (UID4274)	112	575	289	16	555	4	0	0	0	97.82	0.75	25
Metabat2.49	o__Burkholderiales (UID4000)	193	427	214	6	418	3	0	0	0	97.66	0.73	0
Metabat2.3	f__Flavobacteriaceae (UID2817)	81	511	283	26	483	2	0	0	0	97.53	0.35	50
Metabat2.22	k__Bacteria (UID2569)	434	277	185	7	270	0	0	0	0	97.3	0	0
Metabat2.67	c__Gammaproteobacteria (UID4761)	52	693	297	49	638	6	0	0	0	96.85	0.9	33.33
Metabat2.51	f__Rhodobacteraceae (UID3340)	84	568	330	15	550	3	0	0	0	96.82	0.71	0
Metabat2.60	c__Alphaproteobacteria (UID3422)	26	529	308	18	497	14	0	0	0	96.5	2.69	57.14
Metabat2.32	k__Bacteria (UID209)	5443	102	57	2	98	2	0	0	0	96.49	1.75	0
Metabat2.26	c__Gammaproteobacteria (UID4445)	228	580	243	59	518	3	0	0	0	96.4	0.48	66.67
Metabat2.66	c__Gammaproteobacteria (UID4443)	356	451	270	29	418	4	0	0	0	95.93	0.62	0
Metabat2.31	k__Bacteria (UID2570)	433	273	183	8	264	1	0	0	0	95.9	0.55	0
Metabat2.27	k__Bacteria (UID209)	5443	102	57	3	98	1	0	0	0	95.61	1.75	0
Metabat2.7	k__Bacteria (UID2982)	88	229	147	12	215	2	0	0	0	95.37	0.71	50
Metabat2.18	o__Burkholderiales (UID4105)	54	553	264	36	515	2	0	0	0	95.3	0.15	50
Metabat2.77	p__Bacteroidetes (UID2605)	350	316	210	43	272	1	0	0	0	94.52	0.48	0
Metabat2.1	o__Burkholderiales (UID4000)	193	427	214	16	404	7	0	0	0	94.35	2.08	71.43
Metabat2.35	k__Bacteria (UID2570)	433	273	183	15	258	0	0	0	0	93.75	0	0
Metabat2.58	k__Bacteria (UID1453)	901	171	117	8	160	3	0	0	0	93.16	2.14	0
Metabat2.11	k__Bacteria (UID2142)	169	314	234	21	278	11	4	0	0	92.27	4.01	4.35
Metabat2.45	k__Bacteria (UID2142)	169	314	234	25	289	0	0	0	0	92.17	0	0
Metabat2.13	k__Bacteria (UID209)	5443	102	57	6	96	0	0	0	0	91.23	0	0
Metabat2.8	k__Bacteria (UID1452)	924	161	108	11	148	2	0	0	0	90.74	0.65	0
